,P_2,D_39,B_1,B_2,R_1,S_3,D_41,B_3,D_42,D_43,D_44,B_4,D_45,B_5,R_2,D_46,D_47,D_48,D_49,B_6,B_7,B_8,D_50,D_51,B_9,R_3,D_52,P_3,B_10,D_53,S_5,B_11,S_6,D_54,R_4,S_7,B_12,S_8,D_55,D_56,B_13,R_5,D_58,S_9,B_14,D_59,D_60,D_61,B_15,S_11,D_62,D_63,D_64,D_65,B_16,B_17,B_18,B_19,D_66,B_20,D_68,S_12,R_6,S_13,B_21,D_69,B_22,D_70,D_71,D_72,S_15,B_23,D_73,P_4,D_74,D_75,D_76,B_24,R_7,D_77,B_25,B_26,D_78,D_79,R_8,R_9,S_16,D_80,R_10,R_11,B_27,D_81,D_82,S_17,R_12,B_28,R_13,D_83,R_14,R_15,D_84,R_16,B_29,B_30,S_18,D_86,D_87,R_17,R_18,D_88,B_31,S_19,R_19,B_32,S_20,R_20,R_21,B_33,D_89,R_22,R_23,D_91,D_92,D_93,D_94,R_24,R_25,D_96,S_22,S_23,S_24,S_25,S_26,D_102,D_103,D_104,D_105,D_106,D_107,B_36,B_37,R_26,R_27,B_38,D_108,D_109,D_110,D_111,B_39,D_112,B_40,S_27,D_113,D_114,D_115,D_116,D_117,D_118,D_119,D_120,D_121,D_122,D_123,D_124,D_125,D_126,D_127,D_128,D_129,B_41,B_42,D_130,D_131,D_132,D_133,R_28,D_134,D_135,D_136,D_137,D_138,D_139,D_140,D_141,D_142,D_143,D_144,D_145,default
D_62,0.53536194,-0.116053905,-0.283541276,0.45852824,-0.277418081,-0.295057627,-0.140420419,-0.325167193,-0.306108827,-0.18916171,-0.333220501,-0.284587735,0.267949392,0.173966886,-0.198485623,-0.094962621,0.332491238,-0.539908211,0.17870314,0.076135526,-0.421760541,-0.301008785,0.148392848,0.376559703,-0.380165766,-0.21180578,0.679924899,0.146066363,0.032319286,-0.140078253,-0.000779105,-0.261935859,0.029465161,0.084752069,-0.178274191,-0.313641306,0.079036316,0.22036289,-0.403248039,0.320266988,0.118605119,-0.127910232,-0.41785404,-0.030582167,0.020127663,-0.240304581,-0.004567356,-0.479166624,0.063524826,0.215571227,1,-0.041490497,-0.088938827,-0.064774208,-0.37297527,-0.411531604,0.505771904,-0.302594675,0.035575286,-0.348487307,0.206928959,0.031717629,-0.089827881,0.188581778,-0.056458144,-0.006460639,-0.306779239,-0.25914359,0.183488029,-0.124996721,-0.249739323,-0.401039687,0.269280824,-0.225618087,-0.365363236,-0.395888585,0.351624249,-0.067749351,-0.056970862,0.96335164,-0.084503843,0.011741501,-0.194564576,-0.164760482,-0.134723182,-0.02218476,-0.039222618,0.051653687,-0.223287749,-0.151953905,0.001280311,-0.115138878,-0.023206724,-0.02248758,0.078881016,-0.067200508,-0.091606636,-0.064954407,-0.022990825,-0.149072159,-0.131413279,-0.159918151,-0.037169182,-0.31761631,0.098609438,0.125317021,,-0.079535402,-0.005356954,-0.123241311,0.061153052,-0.011460487,-0.051744648,-0.120656594,-0.092387178,-0.098083004,-0.108995106,0.445252683,-0.100790224,-0.090244467,-0.009369076,0.208192213,0.256723466,0.033643751,0.160519576,-0.126872655,-0.061754744,0.168977738,-0.097636453,-0.066613576,-0.093309528,0.219168999,0.114527499,-0.026817574,-0.122045276,-0.121886246,0.003840698,0.069712274,-0.102145223,-0.019300217,-0.28280885,-0.085494325,0.179817608,-0.343324835,-0.038069266,0.047546757,0.03572102,-0.08040562,0.075311481,0.130815394,-0.018780177,-0.030540463,-0.135825792,0.236564037,0.174961282,0.122988672,0.190441165,0.17489422,0.172768729,-0.088624511,0.232378268,0.180400508,-0.064445191,0.041588414,-0.075520128,0.130160079,0.408537278,0.207914921,0.126844668,-0.056581973,0.249264489,-0.19164746,-0.184350133,0.070033083,-0.13288219,-0.023906692,0.039055405,-0.032781361,-0.051710797,-0.00976073,0.027207898,-0.161580929,-0.100919414,-0.1587841,0.077522129,-0.161615883,-0.035661595,-0.130636336,-0.37381655
D_63,-0.038012793,0.034873321,0.082100965,-0.128868102,0.054873656,0.037581284,0.046208352,0.08302862,-0.091280957,0.079489747,0.054804157,0.084783365,-0.13775709,-0.062666134,0.010580704,0.04494336,-0.075582584,0.031174605,0.013437865,-0.004504752,0.064735252,0.08130193,-0.019896193,-0.071272881,0.2470242,0.081292313,-0.046314617,-0.018830173,-0.006817247,0.010185661,0.025491853,0.081686229,0.036166046,0.011552424,0.012315794,0.020438489,-0.00300177,-0.071352998,0.045687515,-0.049148694,-0.008286102,0.011373332,0.066260857,0.029187002,0.045555967,0.13701208,-0.036264444,0.037035618,-0.058100126,-0.110962121,-0.041490497,1,0.024589799,-0.024878588,0.149299854,0.018040499,-0.108237241,0.087070384,0.011302943,0.119646846,-0.019912656,-0.005627595,0.007811866,-0.077251326,0.014972152,-0.002417602,0.144508985,0.042523514,-0.100263959,-0.001641738,0.058069258,0.066292034,0.345700612,0.034184367,0.061317769,0.091540922,-0.03425557,0.01555058,0.006409515,-0.053245562,0.231865425,-0.012583948,0.022772704,0.026442985,0.013516057,-0.010980361,0.01714325,0.073424473,0.035026237,0.058956295,0.001154478,0.002254228,-0.177529671,0.011824082,-0.018718728,0.071261596,0.008854098,0.008214855,0.003189319,0.015949741,0.006314516,0.058645557,0.003348996,0.087402051,0.058563517,-0.01510964,,0.005530145,0.001936982,-0.018949151,-0.00129899,0.005294517,0.059737291,0.027424154,0.033338444,0.001926386,0.034124665,-0.120093427,0.006615047,-0.001879068,0.015945175,-0.044280936,-0.079818718,-0.008276118,-0.097675772,0.003714497,0.011906614,-0.045718564,-0.001343253,0.023702703,-0.016113535,-0.059226452,-0.012855696,0.009757434,0.021849625,0.021623379,-0.012105444,-0.003814622,0.023069583,0.050232192,0.079737363,0.003087624,-0.040473284,0.088933697,0.075899225,-0.025560359,0.00089619,-0.024368801,0.057821144,-0.006739503,-0.000105167,0.018737899,0.035699668,-0.010507582,-0.036807519,0.010900044,-0.020500708,-0.031290921,-0.030796747,0.047561267,-0.039462678,-0.026501732,0.011358118,0.020693695,0.017884696,0.006552906,-0.104693952,-0.013709804,-0.007413165,0.017554248,-0.022577705,0.020439821,0.025716484,-0.025814844,0.015685849,0.006847523,-0.136455906,-0.024970257,0.013336062,-0.011801106,0.038256185,0.021516073,0.017511827,0.021364384,0.000321308,0.021541608,0.007863842,0.015402179,0.069113963
D_64,-0.13603202,0.071164186,0.043003971,-0.122609743,0.081148973,0.039149089,0.071059402,0.143076359,0.046864556,0.043046436,0.094046567,0.106988162,0.01342107,-0.001783221,0.075866876,0.038217818,-0.077138555,0.103109945,-0.018954336,-0.02658326,0.051447643,-0.011509529,-0.00145362,-0.123303121,0.101532339,-0.043727293,-0.044453775,-0.01886304,-0.007255803,0.02874296,0.017669921,0.043799606,-0.184719375,-0.046866015,0.063052637,0.0271084,0.005363797,-0.069777108,0.177678238,0.001732562,0.001588177,0.0476942,0.113176839,0.011146353,0.033573005,0.005941287,-0.010460076,0.091184008,0.016943471,0.049320532,-0.088938827,0.024589799,1,-0.002733188,0.19788153,0.052949641,-0.131274599,0.112586,0.043894935,0.164315788,0.174294556,-0.017144009,0.002936332,-0.030440581,-0.017924086,0.002601311,0.121729691,0.073473304,0.004221305,0.053100746,0.064711556,0.055075442,-0.050776748,-0.259557166,0.081278585,0.101621741,0.012573056,0.03989362,-0.003359715,-0.04226048,0.043931589,0.00941818,0.06857368,0.024739687,0.043992155,0.01329022,-0.003540008,0.000194793,0.072061306,-0.007617062,0.000276924,0.058925371,-0.005117908,0.009188433,-0.059358932,0.047490812,0.034643657,0.018377013,0.006922832,0.043119536,0.052997452,0.011963597,0.029390415,0.114130711,0.016911896,0.007844089,,0.037631312,0.002324121,-0.056585304,-0.020489152,-0.010423793,0.010522768,0.060689798,-0.003830561,0.048628232,-0.003457975,-0.144794171,0.041523626,0.057292477,0.010093048,-0.024454403,-0.012968346,-0.022083815,-0.003734347,0.060837117,0.026374816,0.005253481,0.010229094,0.028839915,0.012005958,-0.075420695,0.010225903,0.017203814,0.000931678,0.001034923,-0.011220248,-0.006686099,-0.006980598,0.024888087,0.041111304,0.001423321,-0.075961311,0.17357623,-0.000817702,-0.005276621,0.042584403,-0.035249179,-0.045427039,-0.092918714,0.007271266,-0.121881928,0.187428945,-0.016412474,-0.219577414,0.488159623,-0.021195631,-0.17637922,-0.177500603,0.308909621,-0.099630651,-0.382636038,0.080158961,0.062195559,0.118491474,0.10893138,-0.059809067,-0.22896837,-0.236083496,0.039706866,-0.026996144,0.019038102,0.026756764,-0.001819608,0.038485502,-0.027414657,-0.028356132,-0.06089475,0.013506887,-0.045468473,0.007420382,0.043170756,0.033600832,0.042448412,-0.003421928,0.043126992,0.019915561,0.044303776,0.098002998
D_65,-0.115896962,0.185731438,0.063603325,-0.055387228,0.071474727,0.058790832,0.190427376,0.037879946,0.081479756,0.040554207,0.039331245,0.020381665,-0.001076703,0.011701685,0.094311803,0.01521959,-0.018014056,0.120558416,0.000198001,-0.006242777,0.051491544,0.010043897,-0.00649885,-0.023050744,0.01693779,0.020357152,-0.005208746,-0.104568099,-0.00515803,0.043281844,0.023914927,0.063172924,-0.01629949,-0.150657087,0.072385151,0.077621579,0.006911005,-0.00018885,0.056139292,0.006126424,0.01548491,0.047146474,0.010978734,0.014417493,0.042404582,0.030067478,0.045640909,0.071538257,0.059539953,0.024046488,-0.064774208,-0.024878588,-0.002733188,1,0.024074796,0.106231738,-0.052853758,0.01277789,-0.005154467,0.031391796,-0.024511411,0.016751875,0.041122924,0.026867152,0.008436012,0.009540057,0.018582514,0.003930498,0.0011386,0.052793252,0.01369339,0.046445053,0.036177807,0.012707937,0.011531972,0.009031452,-0.029258985,0.055360007,0.036254762,-0.041752149,0.012888096,0.110657573,0.062984789,0.012811179,0.048058674,0.011450447,0.007458166,-0.015290426,0.037880374,-0.000505039,0.018026663,0.057505454,0.034207228,0.010698292,-0.055273192,0.024881345,0.036525775,0.034563868,0.012225749,0.056185029,0.072590966,0.024230818,0.072099225,0.008890909,0.021946891,0.000850387,,0.029880062,0.004632629,0.078374554,-0.056758622,-0.000369685,0.005897359,0.00281463,0.005401582,0.028912107,0.011537624,-0.063672299,0.058499346,0.028705616,0.006847119,-0.0093477,-0.017255628,-0.001513864,-0.000843427,0.036176163,0.054732834,0.01320762,0.024743629,0.031474529,0.025236093,-0.044026247,0.005577224,0.00171753,0.009313846,0.009368919,0.014700231,0.002903411,0.013360167,0.002283788,0.063777049,0.029924336,-0.037212809,0.033601406,0.023065118,-0.002366367,0.014382382,-0.017857546,-0.039657728,-0.159968062,0.002246045,0.022746609,0.012587855,-0.021879499,-0.019590154,-0.026452061,-0.013028287,-0.018615953,-0.018616803,-0.006390579,-0.016530864,-0.016876552,0.006426644,0.007861907,0.00937127,-0.009596593,-0.010483439,-0.014718343,-0.009293282,0.034720684,-0.029779576,0.013584426,0.012509856,0.00410214,0.006364815,-0.002436816,0.011005499,-0.013336586,-0.033223861,0.016473195,0.035423579,0.010611111,0.005797896,0.010384797,0.000964303,0.010591766,-0.000984474,0.009271607,0.078857132
B_16,-0.460595368,0.332232444,0.608458362,-0.851824765,0.32986222,0.129633332,0.282711624,0.768228882,0.04092474,0.110935208,0.431389894,0.554030043,-0.038309278,-0.055652987,0.232456893,0.093832863,-0.088172061,0.536989712,0.006019517,-0.093212867,0.57141415,0.065379544,-0.079228396,-0.244038625,0.599713273,0.040673953,-0.15908005,-0.121318248,-0.059298508,0.149077384,0.118854938,0.589852134,-0.320170647,-0.099102668,0.221258301,0.096305868,-0.022965062,-0.034847733,0.591478855,-0.126592771,-0.02805778,0.155354068,0.55259403,0.023298129,0.248087455,0.067048124,-0.008153978,0.501964295,0.078427299,-0.002884686,-0.37297527,0.149299854,0.19788153,0.024074796,1,0.528534669,-0.828807966,0.659343534,0.000858953,0.918581274,0.0804271,-0.009041077,0.119141114,-0.043332449,0.025935152,0.002920235,0.697628221,0.335716558,-0.108774635,0.139345289,0.064482334,0.575335094,0.018756007,-0.168195606,0.473161495,0.567363737,-0.194226019,0.081936097,0.086607995,-0.296175083,0.424259308,0.00664714,0.250598587,0.166055384,0.165322956,0.018113203,0.036379026,0.085776657,0.261316017,0.037101109,-0.000323775,0.158211776,0.008529515,0.044038056,-0.114964021,0.41670652,0.110844905,0.042015503,0.035723969,0.107662094,0.160009793,0.066754696,0.040740107,0.634798948,0.007222907,-0.033541237,,0.094904386,0.001893897,0.100324175,-0.054996357,-0.00093609,0.227793023,0.313403617,0.068978579,0.10806411,0.085058997,-0.885875281,0.127197786,0.123983417,0.014401947,-0.119024094,-0.23289391,-0.016081351,-0.098059905,0.139071685,0.066884728,-0.040596372,0.220166096,0.109562266,0.223452011,-0.319985499,-0.027750465,0.107161818,0.147257978,0.14781845,0.071017985,-0.004777455,0.140390574,0.023980988,0.609267609,0.047665509,-0.113481891,0.813722081,-0.0043147,-0.024705516,-0.002065155,0.032299273,-0.030747595,-0.29160566,0.020719546,-0.117976324,0.054144093,0.035671442,-0.077457141,0.200574089,-0.010587331,-0.071238876,-0.070356066,0.129565205,-0.043966956,-0.05630364,0.018777005,0.070413638,0.01765874,0.086487305,-0.205525691,-0.026405842,0.01581523,0.066767875,-0.142248853,0.190426333,0.181724536,0.062138499,0.160471842,-0.007373578,0.089362743,-0.062011787,-0.041009808,-0.042376983,-0.005827246,0.142617896,0.078329993,0.142012097,0.02170342,0.14263954,0.058953436,0.108184458,0.378864007
B_17,-0.488119651,0.206329121,0.472155026,-0.735600623,0.314468313,0.199381515,0.163301642,0.545949862,0.182171805,0.134120358,0.376147942,0.409041274,-0.146631027,-0.134715976,0.20221165,0.164748301,-0.162858063,0.527015809,-0.045807346,-0.182956323,0.500332611,0.182229677,-0.096319383,-0.277948762,0.517815711,0.129792313,-0.181611708,-0.240014684,-0.046120678,0.14593612,0.07886094,0.450378086,0.023778775,-0.066362941,0.191640143,0.217377181,-0.076769906,-0.196883284,0.419810589,-0.150241322,-0.076275352,0.136385473,0.430197649,0.024572017,0.172445682,0.126785699,-0.049650065,0.441772698,0.053935146,-0.102901304,-0.411531604,0.018040499,0.052949641,0.106231738,0.528534669,1,-0.707250027,0.41545396,-0.037487124,0.602323054,-0.118265697,-0.035736666,0.09901803,-0.143645085,0.071998786,0.007969903,0.51353479,0.260409808,-0.166747828,0.109623779,0.199188239,0.490000475,-0.023717786,0.148190902,0.366270343,0.431508857,-0.212539619,0.05963163,0.07032609,-0.380005804,0.258908144,0.009027197,0.222135576,0.133436966,0.146361543,0.022590488,0.053426278,-0.027294377,0.250085131,0.06851096,0.002984575,0.111982115,0.074941129,0.018861188,-0.06218317,0.278771089,0.098390784,0.046377127,0.033720368,0.137502741,0.132022989,0.106932215,0.040888102,0.4906111,-0.042021685,-0.069743224,,0.08513058,0.000770226,0.186388121,-0.061877832,0.020618803,0.1454366,0.16107344,0.095598076,0.090035747,0.112341432,-0.742407844,0.104141695,0.075339727,0.007901041,-0.130945873,-0.263000987,-0.021672566,-0.124907986,0.117579253,0.061744752,-0.076829224,0.12408635,0.09780463,0.125856469,-0.253666641,-0.063074266,0.027099633,0.087924721,0.088056265,0.026254562,-0.037216592,0.081248317,0.050243728,0.469359962,0.05916989,-0.130703674,0.466154075,0.014793733,-0.01021482,0.029464464,0.160837745,-0.452171671,-0.045869244,0.017795643,-0.03722837,0.057878621,-0.14664973,-0.088537894,-0.104794617,-0.105950164,-0.084120925,-0.083703186,0.053771435,-0.085771597,-0.090055415,0.023898471,0.011526642,0.028724816,-0.04791288,-0.29257299,-0.121130911,-0.078578273,0.024717117,-0.1897232,0.135784691,0.142923962,0.026370205,0.112004911,0.006664675,0.043614767,0.020032416,0.049285869,-0.008261948,-0.061852765,0.103270154,0.074686445,0.102122597,-0.005075319,0.103322664,0.015064279,0.084512293,0.41293228
B_18,0.622120569,-0.347340233,-0.61212914,0.882768784,-0.438010679,-0.266649729,-0.292581784,-0.703709235,-0.137164894,-0.21019904,-0.578634556,-0.699167546,0.146057167,0.081829717,-0.285488544,-0.193870207,0.15668806,-0.741962723,-0.014426963,0.121990305,-0.718242688,-0.19057353,0.108204414,0.320492702,-0.638932542,-0.19199821,0.218829109,0.242748954,0.086085353,-0.235841926,-0.125177963,-0.590096882,0.216863132,0.132999383,-0.27142895,-0.264900949,0.031022277,0.112943257,-0.737175986,0.166350371,0.035406533,-0.199226847,-0.771815527,-0.052872311,-0.234829145,-0.160341587,0.216527455,-0.726393695,-0.077590572,0.052250479,0.505771904,-0.108237241,-0.131274599,-0.052853758,-0.828807966,-0.707250027,1,-0.616174969,0.021661838,-0.786209049,0.04605191,0.010486824,-0.141382792,0.071132148,-0.0701381,-0.006541834,-0.676265787,-0.486661906,0.134198183,-0.161527655,-0.160215349,-0.719407741,0.016719884,-0.072685737,-0.656375469,-0.731660737,0.254965527,-0.099858583,-0.108582946,0.412249035,-0.394549124,-0.035329867,-0.314866859,-0.242006272,-0.213493259,0.045489312,-0.065996509,-0.237743583,-0.353233287,-0.137877736,-0.005358403,-0.179993399,-0.052253012,-0.048568244,0.128638937,-0.543719534,-0.142186187,-0.066410518,-0.042133604,-0.174927807,-0.195746729,-0.158762506,-0.104278145,-0.638266739,-0.009156882,0.062092634,,-0.119956057,-0.003503637,-0.038116001,0.077875586,-0.012488303,-0.248719706,-0.261329688,-0.118066347,-0.134523711,-0.140965607,0.897916402,-0.15618812,-0.117866905,-0.019828688,0.159258424,0.284079668,0.022634238,0.123313161,-0.166368136,-0.085529805,0.057878881,-0.213415198,-0.116177742,-0.21435543,0.347852491,0.04473903,-0.141778669,-0.228030942,-0.228236728,-0.075893025,0.006176473,-0.22333777,-0.038937764,-0.612449724,-0.08749681,0.181580323,-0.734127164,-0.007290936,0.030782229,-0.05446457,-0.100921372,0.084632999,0.29712286,-0.028545747,0.003396838,-0.092691812,0.060059964,0.125174793,-0.037703652,0.085135738,0.111988846,0.110118713,-0.140416262,0.070878866,0.084140052,-0.038235203,-0.114872347,-0.043355972,-0.023188969,0.299103486,0.03434111,-0.029838416,-0.075913912,0.180826586,-0.273907228,-0.264176169,-0.048906052,-0.210655487,-0.029187641,-0.080854281,0.018739445,-0.024038294,0.03245944,0.042752303,-0.192622149,-0.108762618,-0.191602644,-0.019678968,-0.192662659,-0.072356004,-0.143566195,-0.510621438
B_19,-0.413854087,0.148979386,0.758026095,-0.707151017,0.303005645,0.155795326,0.164786081,0.82950911,-0.001514796,0.09396588,0.432003012,0.498527818,-0.128139273,-0.083512814,0.189137712,0.10595685,-0.129495508,0.490099554,-0.01690555,-0.068427017,0.655324048,0.136955476,-0.070786822,-0.213405698,0.571818741,0.057931394,-0.156040757,-0.170211748,-0.045676242,0.125117708,-0.006959076,0.736112014,-0.104720258,-0.035246172,0.186816971,0.103221766,-0.044088747,-0.173279402,0.498827034,-0.135210467,-0.056915691,0.133372015,0.472093808,0.043207821,0.11818918,0.07966838,-0.05318233,0.440494405,-0.039311883,-0.098042196,-0.302594675,0.087070384,0.112586,0.01277789,0.659343534,0.41545396,-0.616174969,1,-0.000729299,0.684564147,-0.009823426,-0.075812454,0.118633339,-0.217604015,0.068056819,-0.001279531,0.769190935,0.271426401,-0.097912552,0.102056875,0.147559906,0.653785045,0.0028551,-0.012728845,0.41342664,0.46710314,-0.145907102,0.032085627,0.065311388,-0.261504536,0.364834085,-0.016398253,0.255737934,0.146424627,0.142958951,-0.002128023,0.043833092,0.040219059,0.266692388,0.038338971,-0.001746611,0.11850819,-0.130624328,0.015997037,-0.047396728,0.299264617,0.097014962,0.018078298,0.022910084,0.113788039,0.128807878,0.060990632,-0.021251574,0.908253487,-0.04846077,-0.072562204,,0.07806368,0.001209254,0.289027168,-0.03541697,0.008003205,0.188909156,0.422599423,0.094613726,0.083452378,0.105579096,-0.628892321,0.104309277,0.095207256,0.005661453,-0.118690966,-0.165563148,-0.017666214,-0.07607042,0.111225226,0.033860563,-0.084749983,0.107066114,0.090030584,0.105400382,-0.341376082,-0.053553093,0.054628428,0.096231,0.096716654,0.045839131,-0.008502754,0.087009924,-0.025517916,0.762827628,0.022021893,-0.102758233,0.772530669,-0.010317288,-0.017048442,0.025880882,0.062960359,-0.005806525,-0.112535409,0.021800287,-0.053957179,0.064540039,-0.036850837,-0.083976446,0.067991234,-0.04991069,-0.082033032,-0.081052905,0.084653061,-0.080875115,-0.065481408,0.023686553,0.021805439,0.026253354,0.013661578,-0.179033145,-0.053786006,-0.016450901,0.022672354,-0.101041418,0.161859456,0.161921958,0.04470129,0.135317831,0.042118555,0.337563427,-0.019169407,-0.025555622,-0.022992887,-0.038985685,0.129117278,0.085210725,0.127941439,0.000602999,0.12916124,0.041971973,0.103534763,0.390868008
D_66,0.035002056,-0.000797283,-0.00975218,0.030653719,-0.026712063,-0.083807183,0.001369129,0.005024419,-0.081250231,-0.036251648,-0.026108956,-0.01854573,-0.058696977,0.022557963,-0.018391311,-0.004584054,-0.093099149,-0.0205982,0.037081289,0.000651728,-0.03491374,-0.000467389,0.0001206,0.031428563,-0.003064303,-0.035693723,0.016882769,0.036956613,0.009058819,-0.015695923,0.010914604,-0.005958706,-0.049662692,0.008229187,-0.013740125,-0.075849798,0.009740685,0.078444841,0.003936741,-0.012026454,0.015073828,-0.009227488,-0.037096099,-0.020409802,0.01856618,-0.003034896,0.033824183,-0.019844817,-0.000174065,0.058864285,0.035575286,0.011302943,0.043894935,-0.005154467,0.000858953,-0.037487124,0.021661838,-0.000729299,1,-0.01252247,-0.015132006,0.035289233,-0.003827532,0.070065739,-0.016957083,-0.002663863,-0.01108981,-0.036973747,-0.007623098,-0.003425005,-0.080200667,-0.030576285,0.062906639,-0.055198423,-0.045047732,-0.043100465,-0.034839245,0.000222426,-0.001297451,0.05046415,0.044512424,-0.000358219,-0.005540106,-0.000398364,-0.011881403,-0.003275961,-0.0101009,0.008578234,-0.013229582,-0.028841254,0.000708957,-0.003880888,-0.007269043,0.013090295,-0.003634436,0.005974987,-0.00774806,-0.013526957,-0.002934055,-0.022970998,-0.008359189,-0.030905381,0.005343683,-0.008583982,-0.003128797,0.044748943,,-0.000281084,-0.000138442,-0.060298935,0.005008676,-0.006945006,-0.002455802,-0.009819982,-0.023541962,-0.010095266,-0.025720792,0.019251679,-0.007199305,-5.90E-05,-0.003802913,0.056351894,0.052423555,-0.020492566,-0.009320703,-0.015873874,-0.00298478,0.033198129,0.015430995,6.35E-05,0.015687177,0.013430154,0.01230341,0.028885096,0.027711154,0.027931271,0.004397891,0.007122653,0.013572591,0.004096513,-0.009659375,-0.005024466,0.019755253,0.000563002,-0.013895701,-0.004698419,-0.032819303,-0.024063653,0.016834328,0.005784342,-0.001818575,0.019247764,0.110507654,0.039016712,-0.132150521,0.072368002,0.046519953,-0.139915658,-0.13967247,0.032001952,-0.144627234,0.027594693,0.033926989,0.042781889,0.046910438,0.008690841,0.02506761,0.041005026,0.060950477,-0.001857925,-0.051627368,-0.004226721,-0.0035905,0.007546228,-6.07E-05,-0.008110382,-0.00922554,0.000546132,0.046144207,-0.023253495,-0.074376698,0.191546774,0.044126076,0.193793654,0.12731847,0.1913517,0.143049562,0.147262029,-0.057501827
B_20,-0.449830537,0.314956815,0.643901742,-0.847218148,0.327561683,0.131623214,0.281850327,0.80688816,0.060234947,0.083246699,0.446656487,0.573650312,-0.003490016,-0.061301382,0.237889504,0.091199187,-0.059395464,0.531723512,-0.01625808,-0.082365984,0.607989896,0.03068195,-0.071725722,-0.220603954,0.591241832,0.01655645,-0.143698976,-0.140889023,-0.055115269,0.158823865,0.109619458,0.62740152,-0.23568988,-0.09983904,0.225760848,0.097905491,-0.025039196,-0.076406802,0.579723519,-0.120449075,-0.036706851,0.15665875,0.54650348,0.013009858,0.259878959,0.05257829,-0.009612898,0.484711811,0.092628818,-0.024747912,-0.348487307,0.119646846,0.164315788,0.031391796,0.918581274,0.602323054,-0.786209049,0.684564147,-0.01252247,1,0.073491337,-0.033065036,0.123900205,-0.086125978,0.023845156,0.003471168,0.749523795,0.319548851,-0.104146071,0.145179978,0.092035095,0.61351512,0.008774619,-0.144309352,0.475142601,0.564519631,-0.172666446,0.075926207,0.089702565,-0.287240443,0.422076356,0.009406813,0.259531746,0.140373827,0.167054788,0.035263298,0.029997547,0.026753858,0.266083058,0.008443717,0.001163801,0.163435871,0.034461595,0.028109714,-0.10315339,0.427740624,0.111294285,0.041442123,0.038759379,0.101383338,0.163330047,0.04428252,0.038670962,0.672180826,0.0005817,-0.039925715,,0.095714166,0.001535789,0.115381209,-0.05342173,-0.002617937,0.259038247,0.358244359,0.059223571,0.109999355,0.073891336,-0.840870237,0.129424781,0.127405585,0.012937819,-0.109656581,-0.200154253,-0.010342308,-0.08966371,0.142188444,0.065205259,-0.048057488,0.180524081,0.114008948,0.182434917,-0.333511958,-0.033575915,0.087780847,0.113726664,0.114518912,0.080767269,-0.007965844,0.10868489,0.003644785,0.646628214,0.045556418,-0.093754667,0.769295444,-0.010931015,-0.019277049,-0.020270617,0.014306359,-0.067133882,-0.25607455,0.022892787,-0.12435694,0.024162734,0.017111008,-0.045934737,0.15520284,-0.01935623,-0.039833198,-0.039508567,0.099178685,-0.018707295,-0.046875087,0.005513815,0.048179547,-0.000370056,0.073871301,-0.20398656,-0.036442608,4.70E-05,0.053465249,-0.12454666,0.158391352,0.151612891,0.091601969,0.14615481,-0.005892897,0.109560867,-0.045263161,-0.045746789,-0.030932501,-0.007078801,0.118333854,0.070573496,0.11800919,0.026783582,0.118361332,0.046005119,0.090984024,0.377177362
